wavelen,trans
665.0,0.001
666.0,0.001
667.0,0.001
668.0,0.001
669.0,0.001
670.0,0.001
671.0,0.001
672.0,0.002
673.0,0.002
674.0,0.003
675.0,0.004
676.0,0.005
677.0,0.007
678.0,0.009
679.0,0.012
680.0,0.016
681.0,0.022
682.0,0.029
683.0,0.039
684.0,0.056
685.0,0.084
686.0,0.133
687.0,0.169
688.0,0.264
689.0,0.35
690.0,0.426
691.0,0.512
692.0,0.591
693.0,0.67
694.0,0.737
695.0,0.792
696.0,0.821
697.0,0.843
698.0,0.848
699.0,0.846
700.0,0.848
701.0,0.847
702.0,0.847
703.0,0.845
704.0,0.848
705.0,0.849
706.0,0.852
707.0,0.853
708.0,0.851
709.0,0.849
710.0,0.847
711.0,0.847
712.0,0.849
713.0,0.852
714.0,0.855
715.0,0.857
716.0,0.859
717.0,0.844
718.0,0.833
719.0,0.816
720.0,0.825
721.0,0.842
722.0,0.863
723.0,0.846
724.0,0.833
725.0,0.833
726.0,0.842
727.0,0.835
728.0,0.833
729.0,0.831
730.0,0.838
731.0,0.828
732.0,0.838
733.0,0.846
734.0,0.85
735.0,0.853
736.0,0.857
737.0,0.86
738.0,0.864
739.0,0.864
740.0,0.865
741.0,0.865
742.0,0.866
743.0,0.865
744.0,0.865
745.0,0.865
746.0,0.865
747.0,0.865
748.0,0.865
749.0,0.867
750.0,0.868
751.0,0.868
752.0,0.869
753.0,0.868
754.0,0.868
755.0,0.867
756.0,0.866
757.0,0.864
758.0,0.863
759.0,0.86
760.0,0.408
761.0,0.331
762.0,0.655
763.0,0.456
764.0,0.562
765.0,0.64
766.0,0.73
767.0,0.783
768.0,0.833
769.0,0.845
770.0,0.859
771.0,0.865
772.0,0.865
773.0,0.863
774.0,0.86
775.0,0.858
776.0,0.855
777.0,0.853
778.0,0.851
779.0,0.848
780.0,0.844
781.0,0.842
782.0,0.841
783.0,0.84
784.0,0.838
785.0,0.836
786.0,0.833
787.0,0.83
788.0,0.828
789.0,0.824
790.0,0.82
791.0,0.822
792.0,0.824
793.0,0.827
794.0,0.834
795.0,0.838
796.0,0.838
797.0,0.843
798.0,0.846
799.0,0.844
800.0,0.841
801.0,0.838
802.0,0.835
803.0,0.834
804.0,0.832
805.0,0.83
806.0,0.828
807.0,0.824
808.0,0.821
809.0,0.817
810.0,0.813
811.0,0.81
812.0,0.804
813.0,0.798
814.0,0.78
815.0,0.767
816.0,0.728
817.0,0.684
818.0,0.609
819.0,0.523
820.0,0.408
821.0,0.313
822.0,0.221
823.0,0.142
824.0,0.104
825.0,0.071
826.0,0.047
827.0,0.033
828.0,0.021
829.0,0.015
830.0,0.01
831.0,0.007
832.0,0.005
833.0,0.004
834.0,0.003
835.0,0.002
836.0,0.002
837.0,0.001
838.0,0.001
839.0,0.001
840.0,0.001
841.0,0.001
842.0,0.001
843.0,0.001
