wavelen,trans
529.0,0.001
530.0,0.001
531.0,0.001
532.0,0.001
533.0,0.001
534.0,0.002
535.0,0.002
536.0,0.003
537.0,0.004
538.0,0.005
539.0,0.008
540.0,0.011
541.0,0.017
542.0,0.026
543.0,0.04
544.0,0.062
545.0,0.093
546.0,0.134
547.0,0.184
548.0,0.242
549.0,0.305
550.0,0.367
551.0,0.423
552.0,0.469
553.0,0.504
554.0,0.528
555.0,0.544
556.0,0.556
557.0,0.565
558.0,0.57
559.0,0.575
560.0,0.578
561.0,0.582
562.0,0.584
563.0,0.586
564.0,0.588
565.0,0.59
566.0,0.591
567.0,0.592
568.0,0.592
569.0,0.591
570.0,0.591
571.0,0.589
572.0,0.586
573.0,0.583
574.0,0.581
575.0,0.582
576.0,0.586
577.0,0.592
578.0,0.599
579.0,0.606
580.0,0.612
581.0,0.615
582.0,0.617
583.0,0.617
584.0,0.616
585.0,0.614
586.0,0.611
587.0,0.609
588.0,0.609
589.0,0.61
590.0,0.615
591.0,0.621
592.0,0.623
593.0,0.623
594.0,0.621
595.0,0.621
596.0,0.624
597.0,0.628
598.0,0.633
599.0,0.638
600.0,0.641
601.0,0.642
602.0,0.644
603.0,0.647
604.0,0.649
605.0,0.651
606.0,0.652
607.0,0.653
608.0,0.654
609.0,0.655
610.0,0.655
611.0,0.656
612.0,0.656
613.0,0.657
614.0,0.656
615.0,0.653
616.0,0.648
617.0,0.643
618.0,0.64
619.0,0.64
620.0,0.642
621.0,0.645
622.0,0.648
623.0,0.647
624.0,0.646
625.0,0.646
626.0,0.648
627.0,0.652
628.0,0.641
629.0,0.655
630.0,0.657
631.0,0.662
632.0,0.662
633.0,0.66
634.0,0.66
635.0,0.66
636.0,0.663
637.0,0.668
638.0,0.673
639.0,0.678
640.0,0.681
641.0,0.684
642.0,0.685
643.0,0.686
644.0,0.687
645.0,0.686
646.0,0.685
647.0,0.684
648.0,0.683
649.0,0.683
650.0,0.685
651.0,0.686
652.0,0.684
653.0,0.686
654.0,0.687
655.0,0.684
656.0,0.684
657.0,0.682
658.0,0.682
659.0,0.681
660.0,0.679
661.0,0.677
662.0,0.675
663.0,0.672
664.0,0.669
665.0,0.666
666.0,0.664
667.0,0.663
668.0,0.663
669.0,0.663
670.0,0.663
671.0,0.662
672.0,0.662
673.0,0.66
674.0,0.658
675.0,0.655
676.0,0.652
677.0,0.649
678.0,0.644
679.0,0.639
680.0,0.633
681.0,0.626
682.0,0.617
683.0,0.608
684.0,0.595
685.0,0.579
686.0,0.556
687.0,0.427
688.0,0.428
689.0,0.391
690.0,0.346
691.0,0.305
692.0,0.255
693.0,0.204
694.0,0.156
695.0,0.116
696.0,0.084
697.0,0.06
698.0,0.042
699.0,0.029
700.0,0.021
701.0,0.015
702.0,0.011
703.0,0.008
704.0,0.006
705.0,0.005
706.0,0.004
707.0,0.003
708.0,0.002
709.0,0.002
710.0,0.001
711.0,0.001
712.0,0.001
713.0,0.001
