wavelen,trans
785.0,0.001
786.0,0.001
787.0,0.001
788.0,0.001
789.0,0.001
790.0,0.001
791.0,0.001
792.0,0.001
793.0,0.001
794.0,0.002
795.0,0.002
796.0,0.002
797.0,0.003
798.0,0.004
799.0,0.005
800.0,0.006
801.0,0.007
802.0,0.008
803.0,0.009
804.0,0.012
805.0,0.015
806.0,0.019
807.0,0.025
808.0,0.034
809.0,0.045
810.0,0.06
811.0,0.079
812.0,0.101
813.0,0.129
814.0,0.16
815.0,0.203
816.0,0.252
817.0,0.318
818.0,0.397
819.0,0.499
820.0,0.588
821.0,0.696
822.0,0.761
823.0,0.75
824.0,0.833
825.0,0.849
826.0,0.85
827.0,0.863
828.0,0.839
829.0,0.86
830.0,0.858
831.0,0.857
832.0,0.845
833.0,0.862
834.0,0.857
835.0,0.867
836.0,0.867
837.0,0.877
838.0,0.879
839.0,0.88
840.0,0.88
841.0,0.876
842.0,0.873
843.0,0.871
844.0,0.869
845.0,0.869
846.0,0.868
847.0,0.868
848.0,0.867
849.0,0.866
850.0,0.865
851.0,0.863
852.0,0.861
853.0,0.858
854.0,0.855
855.0,0.854
856.0,0.852
857.0,0.85
858.0,0.848
859.0,0.848
860.0,0.849
861.0,0.85
862.0,0.851
863.0,0.85
864.0,0.849
865.0,0.849
866.0,0.848
867.0,0.846
868.0,0.845
869.0,0.843
870.0,0.84
871.0,0.839
872.0,0.837
873.0,0.835
874.0,0.833
875.0,0.832
876.0,0.831
877.0,0.829
878.0,0.827
879.0,0.824
880.0,0.82
881.0,0.816
882.0,0.81
883.0,0.806
884.0,0.801
885.0,0.796
886.0,0.792
887.0,0.79
888.0,0.787
889.0,0.786
890.0,0.783
891.0,0.783
892.0,0.781
893.0,0.777
894.0,0.773
895.0,0.764
896.0,0.747
897.0,0.723
898.0,0.727
899.0,0.671
900.0,0.719
901.0,0.697
902.0,0.71
903.0,0.691
904.0,0.73
905.0,0.725
906.0,0.714
907.0,0.687
908.0,0.688
909.0,0.694
910.0,0.683
911.0,0.691
912.0,0.68
913.0,0.666
914.0,0.653
915.0,0.659
916.0,0.625
917.0,0.642
918.0,0.592
919.0,0.59
920.0,0.549
921.0,0.504
922.0,0.429
923.0,0.361
924.0,0.283
925.0,0.214
926.0,0.158
927.0,0.116
928.0,0.079
929.0,0.057
930.0,0.039
931.0,0.028
932.0,0.019
933.0,0.014
934.0,0.01
935.0,0.008
936.0,0.006
937.0,0.005
938.0,0.004
939.0,0.004
940.0,0.004
941.0,0.003
942.0,0.002
943.0,0.002
944.0,0.002
945.0,0.001
946.0,0.001
947.0,0.001
948.0,0.001
949.0,0.001
951.0,0.001
